WL,SHIFT
4.9,-0.000411459
4.9095,-0.000411459
4.9207,-0.000293822
4.932,-0.000466877
4.9432,-0.00036231
4.95505,-0.000243508
4.9907,-0.00019621
5.0033,-0.000175955
5.01555,-0.000241706
5.0666,-0.000152869
5.08085,-0.000180885
5.11465,-2.66E-05
5.2137,-4.81E-07
5.2359,-0.00018319
5.24085,-0.000254216
5.2707,-0.000334697
5.34535,-0.000335919
5.3648,-0.000315571
5.37255,-0.000144753
5.41255,-0.000208006
5.42875,-0.000218101
5.4233,-0.000249914
5.4432,-0.000270613
5.4549,-0.000363472
5.45935,-0.000462976
5.464,-0.00029091
5.47865,-0.000258038
5.4864,-0.000288465
5.50265,-0.000318522
5.54945,-0.000213085
5.57815,-0.000308674
5.5854,-0.000226596
5.59175,-0.000194319
5.6024,-0.000201874
5.61565,-0.000365064
5.63175,-0.000230276
5.64135,-0.000173531
5.6558,-0.000213603
5.692,-0.000429534
5.73475,-0.000318136
5.75535,-0.000295749
5.76965,-0.000487184
5.78175,-0.000457057
5.8207,-0.000434873
5.85955,-0.000523264
5.88095,-0.000412429
5.89075,-0.000535823
5.8968,-0.000496432
5.91715,-0.000164712
5.9234,-0.000410318
5.93515,-0.00036986
5.96875,-0.000472006
5.98355,-0.000542181
5.9923,-0.000464627
6.01425,-0.000393083
6.03345,-0.000632354
6.0435,-0.000403282
6.05035,-0.000446776
6.0685,-0.000440969
6.0757,-0.000396467
6.0884,-0.000688994
6.1072,-0.000261417
6.1151,-0.000449432
6.1431,-0.000353799
6.15935,-0.00030851
6.17535,-0.000371119
6.18555,-0.000332696
6.20305,-0.000372677
6.21335,-0.000349447
6.24505,-0.000407885
6.31515,-0.000312082
6.3393,-0.000360738
6.3447,-0.00030633
6.3718,-0.000309876
6.39025,-5.82E-05
6.41045,-0.000199335
6.41845,-0.000257517
6.4337,-0.000236465
6.4516,-0.0001922
6.47875,-0.000369562
6.48535,-9.80E-05
6.4921,-0.000314228
6.50695,-0.000226221
6.5193,-0.000244771
6.54805,-0.000670597
6.5728,-0.000369802
6.5785,-0.000531064
6.58365,-0.000445178
6.61255,-0.000404021
6.64135,-0.000351068
6.65805,-0.000506555
6.6728,-0.000385416
6.6829,-0.00056461
6.71395,-0.000423789
6.7406,-0.000278166
6.77395,2.93E-05
6.7846,-0.000398923
6.81625,-0.000610311
6.84515,-0.000516053
6.85765,-0.000388866
6.8757,-0.000402338
6.9065,-0.000304513
6.9201,-0.000327159
6.9394,-0.000392913
6.9773,-0.000278414
6.9834,-0.000294851
6.9936,-0.000309548
7.0022,-0.000432129
7.00945,-0.00030259
7.0226,-0.000319548
7.03665,-0.00026664
7.05495,-0.000294029
7.0621,-0.000414637
7.0838,-0.000384949
7.1088,-0.000484797
7.1174,-0.000368065
7.1426,-0.000442057
7.15445,-0.000449033
7.1647,-0.000589051
7.1901,-0.000558127
7.21265,-0.000453451
7.24865,-0.000444282
7.27225,-0.000356721
7.2794,-0.000411081
7.2873,-0.000418934
7.30695,-0.000437997
7.36165,-0.000589731
7.37815,-0.000543596
7.41435,-0.000314434
7.48145,-0.0004403
7.5326,-0.00061276
7.55655,-0.000290836
7.5817,-0.000275204
7.61305,-0.00050852
7.64325,-0.000392981
7.749,-0.000245009
7.7636,-0.000558876
7.7827,-0.000160028
7.8089,-0.000504864
7.83355,-0.000389583
7.8746,-0.000604634
7.9346,-0.000925138
7.96565,-0.000446306
7.98375,-0.00115995
8.02065,-0.000824835
8.03565,-0.000453504
8.06945,-0.000452358
8.1644,-0.000501527
8.20495,-0.000659586
8.24665,-0.000680349
8.28285,0.00486294
8.3078,-0.00163766
8.3431,-0.00201143
8.36575,-0.000189008
8.4843,-0.000914461
8.5196,-0.000344686
8.8208,-0.000963119
8.97045,-0.000316536
9.09345,-0.00118636
9.4385,-0.000957157
9.45945,-0.000542335
9.51495,-0.000711768
