WL,SHIFT
4.90000,-0.000391432
4.90796,-0.000391432
4.91629,-0.000367096
4.93317,-0.000463540
4.94308,-0.000318956
4.95457,-0.000173014
4.96548,-0.000444466
4.98082,-0.000358290
4.99774,-0.000226325
5.00269,-0.000197931
5.02037,-0.000379583
5.04491,-0.000208792
5.05283,-0.000351125
5.06429,-0.000194219
5.08086,-0.000211571
5.09319,-0.000364399
5.10815,-0.000333604
5.11953,-0.000221542
5.11953,-0.000221542
5.13212,9.11400e-05
5.21367,3.03961e-05
5.22140,-0.000251765
5.24074,-0.000249486
5.24120,-0.000282311
5.29221,-0.000422607
5.32114,-0.000269146
5.34947,-0.000251432
5.47840,-0.000285644
5.55147,-0.000289257
5.65572,-0.000238199
5.76904,-0.000375793
5.82274,-0.000379387
5.89648,-0.000540635
5.96953,-0.000521435
6.04408,-0.000503432
6.18540,-0.000286914
6.34443,-0.000242527
6.43355,-0.000274020
6.45063,-0.000256349
6.47184,-0.000209329
6.52896,-0.000356199
6.57329,-0.000482672
6.63544,-0.000618169
6.68338,-0.000485853
6.71212,-0.000474950
6.78650,-0.000266572
6.82638,-0.000272992
6.86395,-0.000603091
6.95982,-0.000404726
7.02183,-0.000294371
7.04469,-0.000242808
7.08463,-0.000417934
7.17116,-0.000476430
7.18894,-0.000322097
7.25674,-0.000449486
7.27924,-0.000465383
7.33534,-0.000568455
7.44009,-0.000541854
7.61872,-0.000480031
7.71313,-0.000344729
7.81221,-0.000620559
7.87000,-0.000415540
7.93337,-0.000917658
7.96000,-0.000771526
8.01500,-0.00101152
8.06000,-0.000457799
8.10842,-0.000439869
8.24915,-0.000407265
8.36500,-0.000212160
8.44500,-0.00132899
8.52000,-0.000574177
8.82000,-0.00101955
8.96997,-0.000293329
9.32300,-0.000526257
9.40300,-0.000544617
9.80000,-0.000713825
9.90000,-0.00114532
10.1100,-0.000614989
10.2750,-0.000698939
10.3800,-0.000633161
10.4250,-0.000431724
10.5850,-0.000539127
10.7643,-0.000117169
10.8500,-0.000630733
10.8835,-0.000334687
10.9400,-0.000494546
10.9804,-0.000493674
11.0347,-0.000478533
11.2688,-0.000355267
11.4551,-0.000429583
11.6476,-0.00104767
11.7000,-0.000989513
11.7246,-0.00129374
11.8241,-0.000740595
12.2772,-0.000850225
12.4500,-0.000903713
12.5194,-0.00106901
12.6841,-8.35624e-05
12.7590,-0.00128192
13.0333,-0.00111529
13.1324,-0.00133162
13.2932,-0.00125502
13.4262,-0.000429207
13.6058,-0.000341415
13.9149,-0.000323213
13.9557,-0.000349769
14.2103,-0.000430460
14.3283,-0.000507647
14.4276,-0.000541611
14.5130,-0.000784508
14.6487,-0.000911761
14.8951,-0.000939096
15.1764,-0.000888897
15.3473,-0.00120267
15.4172,-0.000827443
15.6257,-0.000501486
15.7382,-4.30706e-06
15.8035,-4.98584e-05
15.9662,0.000112469
16.1140,-0.000350501
16.2714,-0.000296205
16.3230,-0.000280240
16.4020,-0.000486705
16.6079,-0.000793295
16.6638,-0.000778337
16.7252,-0.00112280
16.8904,-0.00134699
16.9843,-0.00147984
17.1025,-0.00154649
17.2285,-0.000764224
17.3740,-0.00146775
17.5044,-0.00116253
17.5668,-0.000983859
17.6795,3.52498e-05
17.8361,0.000687262
18.0298,0.000909344
18.1592,-0.000696003
18.3000,0.000777624
18.3736,0.00135921
18.5331,0.00149060
18.6238,0.00143104
18.7171,-0.000373193
18.9290,-0.000187124
19.0000,-0.00180299
19.1300,-0.00135783
19.2460,-0.00178526
19.4437,-0.00130698
19.5915,-0.00170291
19.6880,-0.00269585
19.9373,-0.00242861
20.2372,-0.00167002
20.3415,-0.00205772
20.5703,-0.00133046
20.7882,-0.000831385
20.9899,-0.000176006
21.1525,0.00108685
21.3712,0.00246228
21.6708,0.00389261
21.8456,0.00446713
21.9538,0.00372385
22.0809,0.00384886
22.3747,0.00420601
22.5380,0.00389452
22.9134,0.00330093
23.3400,0.00183958
23.6428,-0.00245499
23.6000,0.00121627
23.7500,0.00137173
23.8598,0.000447859
23.9400,-0.000578626
24.0993,0.00182524
24.4902,-0.000601237
24.6084,-0.000598729
24.7400,-0.00332624
24.9700,-0.00379810
25.0641,-0.00355620
25.1461,-0.00394787
25.3660,-0.00423812
25.6083,-0.00538256
25.9849,-0.00485765
26.0538,-0.00492447
26.2500,-0.00479194
26.4300,-0.00534882
26.6000,-0.00545850
26.7000,-0.00421062
26.9000,-0.00260313
27.1000,-0.00172142
27.4000,0.00147027
27.6700,0.00211715
28.0000,0.00211715
